"Year","FlightStatus","Flights"
1987,"Arrived",1288326
1987,"Cancelled",19685
1987,"Diverted",3815
1988,"Arrived",5137497
1988,"Cancelled",50163
1988,"Diverted",14436
1989,"Arrived",4952196
1989,"Cancelled",74165
1989,"Diverted",14839
1990,"Arrived",5202481
1990,"Cancelled",52458
1990,"Diverted",15954
1991,"Arrived",5020835
1991,"Cancelled",43505
1991,"Diverted",12585
1992,"Arrived",5027937
1992,"Cancelled",52836
1992,"Diverted",11384
1993,"Arrived",5000323
1993,"Cancelled",59845
1993,"Diverted",10333
1994,"Arrived",5101202
1994,"Cancelled",66740
1994,"Diverted",12106
1995,"Arrived",5225038
1995,"Cancelled",91905
1995,"Diverted",10492
1996,"Arrived",5209326
1996,"Cancelled",128536
1996,"Diverted",14121
1997,"Arrived",5301999
1997,"Cancelled",97763
1997,"Diverted",12081
1998,"Arrived",5227051
1998,"Cancelled",144509
1998,"Diverted",13161
1999,"Arrived",5360018
1999,"Cancelled",154311
1999,"Diverted",13555
2000,"Arrived",5481303
2000,"Cancelled",187490
2000,"Diverted",14254
2001,"Arrived",5723673
2001,"Cancelled",231198
2001,"Diverted",12909
2002,"Arrived",5197860
2002,"Cancelled",65143
2002,"Diverted",8356
2003,"Arrived",6375690
2003,"Cancelled",101469
2003,"Diverted",11381
2004,"Arrived",6987729
2004,"Cancelled",127757
2004,"Diverted",13784
2005,"Arrived",6992838
2005,"Cancelled",133730
2005,"Diverted",14028
2006,"Arrived",7003802
2006,"Cancelled",121934
2006,"Diverted",16186
2007,"Arrived",7275288
2007,"Cancelled",160748
2007,"Diverted",17179
2008,"Arrived",2319121
2008,"Cancelled",64442
2008,"Diverted",5654
